road,id,model_type,name,lat,lon,length,quality_cat
N1,0,link,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.007736778974492407,Z
N1,0,link,Box Culvert,23.7029167,90.4504167,0.00014957760527075633,Z
N1,0,link,Intersection with Z1101,23.7027778,90.4504722,0.0016303966419308823,Z
N1,0,link,Km post missing,23.7021389,90.4519722,0.009602921081626775,Z
N1,0,link,Km post missing,23.6978886,90.4605833,0.0012051258855397368,Z
N1,0,link,Box culvert,23.6973608,90.4616667,0.008262486616636817,Z
N1,0,link,Km post missing,23.693833,90.4691382,0.00964146078402946,Z
N1,0,link,Km post missing,23.6936108,90.4787771,0.001760764424903285,Z
N1,0,link,Road to Narayanganj(R111),23.6938052,90.4805271,0.008028351699448268,Z
N1,0,link,Km post missing,23.6947497,90.4884997,0.00976434057783821,Z
N1,0,link,Km post missing,23.6959163,90.4981941,0.009660344905846165,Z
N1,0,link,Km post missing,23.697333,90.50775,0.001635362874109137,Z
N1,0,link,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,0.007659249039554634,Z
N1,0,link,Km post missing,23.7020556,90.5157222,7.855959520890134e-05,Z
N1,0,link,Kachpur bridge,23.7021111,90.5157778,0.004598309787311386,Z
N1,0,link,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,0.002435050638071047,Z
N1,0,link,Road to Sylhet (N2),23.7060833,90.5215271,0.006855222349424965,Z
N1,0,link,Km post missing,23.7025278,90.5273882,0.00947072149520979,Z
N1,0,link,Km post missing,23.6966386,90.5348052,0.007621191864801835,Z
N1,0,link,Box culvert,23.6922774,90.5410552,0.0016256888386180788,Z
N1,0,link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,0.004208018066732516,Z
N1,0,link,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,0.005460842325137012,Z
N1,0,link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,0.009843515699174962,Z
N1,0,link,Km post missing,23.678166,90.5556111,0.008362050519468783,Z
N1,0,link,Km post missing,23.670916,90.5597778,0.00038585003563259033,Z
N1,0,link,Box culvert,23.6705827,90.5599722,0.008785425064846445,Z
N1,0,link,Km post missing,23.6628333,90.5641111,0.006732940151959197,Z
N1,0,link,Langalbandhu bridge,23.6591111,90.5697216,0.0015104130362289842,Z
N1,0,link,Bridge end,23.6583056,90.5709993,0.0012626791556056452,Z
N1,0,link,Km post missing,23.6575,90.5719716,0.0028122884009293965,Z
N1,0,link,Bridge start,23.6559722,90.5743327,0.0035132388077141587,Z
N1,0,link,Bridge start,23.6540556,90.5772771,0.00026204207677039645,Z
N1,0,link,Bridge end,23.6539167,90.5774993,0.0027633107715192467,Z
N1,0,link,Km post missing,23.6525278,90.5798882,0.009556758657620084,Z
N1,0,link,Km post missing,23.6476108,90.588083,0.009175703357237353,Z
N1,0,link,Km post missing,23.6396941,90.5927219,0.007899928230684911,Z
N1,0,link,Bridge end,23.6335552,90.5976941,0.0007684653407939632,Z
N1,0,link,Km post missing,23.6330549,90.5982774,0.009015498870276738,Z
N1,0,link,Box culvert,23.6262771,90.6042222,0.0012948282704726905,Z
N1,0,link,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,0.0032213180733907765,Z
N1,0,link,Bridge end,23.6224993,90.6066944,0.0023967353066285664,Z
N1,0,link,Bridge start,23.6204716,90.6079722,0.0011249548702054997,Z
N1,0,link,Bridge end,23.6195271,90.6085833,0.0024349809239447837,Z
N1,0,link,Km post missing,23.6173604,90.6096944,0.008809793470903665,Z
N1,0,link,Km post missing,23.609,90.6124722,0.009031436592260841,Z
N1,0,link,Km post missing,23.6009444,90.6165556,0.009498876051939139,Z
N1,0,link,Km post missing,23.5959997,90.624666,0.00927394285350063,Z
N1,0,link,Km post missing,23.5896108,90.6313882,0.00939137049476199,Z
N1,0,link,Km post missing,23.5828327,90.6378886,0.006715607949397125,Z
N1,0,link,Bridge end,23.5776104,90.6421108,0.003466060844824202,Z
N1,0,link,Information missing,23.5745271,90.6436941,0.009091954071594334,Z
N1,0,link,Km post missing,23.5666111,90.6481663,0.003718106198050637,Z
N1,0,link,Bridge end,23.5636944,90.6504722,0.004980543874926609,Z
N1,0,link,Bridge start,23.5604167,90.6542222,0.0003391210550772274,Z
N1,0,link,Bridge end,23.5602222,90.6545,0.0003948307992057829,Z
N1,0,link,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,0.0053751700521885055,Z
N1,0,link,Bridge start,23.5564444,90.6588611,0.000355732596205834,Z
N1,0,link,Bridge end,23.5562222,90.6591389,0.0037239152044527216,Z
N1,0,link,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,0.00773999903489365,Z
N1,0,link,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,0.0069537824333175,Z
N1,0,link,Box culvert,23.5442219,90.6731104,0.0024591357770529366,Z
N1,0,link,Km post missing,23.542583,90.6749438,0.009419249531152437,Z
N1,0,link,Km post missing,23.5362497,90.681916,0.0005905375263212561,Z
N1,0,link,Bridge end,23.5358608,90.6823604,0.002597733604512653,Z
N1,0,link,Box culvert,23.5341386,90.6843052,0.006005199403853506,Z
N1,0,link,Km post missing,23.5301938,90.688833,0.009666859896054057,Z
N1,0,link,Km post missing,23.5301382,90.6984997,0.009797177288388076,Z
N1,0,link,Km post missing,23.5307493,90.7082778,0.0007505150498123281,Z
N1,0,link,Daudkandi bridge,23.5307771,90.7090278,0.006362714208568878,Z
N1,0,link,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,0.001862368333607591,Z
N1,0,link,Road to Matlab (Z1062),23.5314716,90.7172216,0.00014948474838850118,Z
N1,0,link,Bridge start,23.5315271,90.7173604,0.0002561081021697668,Z
N1,0,link,Bridge end,23.5315827,90.7176104,0.00043924036699952113,Z
N1,0,link,Km post missing,23.5317216,90.7180271,0.004631238670152957,Z
N1,0,link,Box culvert,23.5322346,90.7226298386,0.0043965170221571155,Z
N1,0,link,Km post missing,23.5327216,90.7269993,0.009414909644282807,Z
N1,0,link,Km post missing,23.528916,90.7356108,0.00633384778629295,Z
N1,0,link,Ctg 214 km,23.5289993,90.7419441,0.0094805798330012,Z
N1,0,link,Bridge start,23.5293882,90.7514167,0.00016660000000001673,Z
N1,0,link,Bridge end,23.5293882,90.7515833,0.00016900215975795043,Z
N1,0,link,Km post broken,23.529416,90.75175,0.009767432563879649,Z
N1,0,link,Km post Missing,23.5299993,90.7615,0.009814970415651696,Z
N1,0,link,Km post Missing,23.5304438,90.7713049,0.001806352817131856,Z
N1,0,link,Box culvert,23.5304993,90.7731104,0.008005834832180647,Z
N1,0,link,Km post Missing,23.5308049,90.7811104,0.0010922677190127847,Z
N1,0,link,"Z1053, Road to Homna",23.530666,90.7821938,0.0073823371177360155,Z
N1,0,link,Box culvert,23.5312216,90.7895552,0.0011680240793739158,Z
N1,0,link,Km post Missing,23.531166,90.7907219,0.00950521390869147,Z
N1,0,link,Km post Missing,23.5308604,90.8002222,0.0039167986583481815,Z
N1,0,link,Bridge start,23.5308882,90.8041389,0.00022393231119768913,Z
N1,0,link,Bridge end,23.530916,90.8043611,0.005602344527078619,Z
N1,0,link,Km post Missing,23.5316382,90.8099167,0.00968977591175159,Z
N1,0,link,Km post Missing,23.5332493,90.8194716,0.0056796028910458375,Z
N1,0,link,Bridge start,23.5346663,90.8249716,0.00014952190475147375,Z
N1,0,link,Bridge end,23.5347219,90.8251104,0.0036180296129192757,Z
N1,0,link,Km post Missing,23.5344997,90.8287216,0.009422783731467899,Z
N1,0,link,Km post Missing,23.5292216,90.8365274,0.0033930744657347843,Z
N1,0,link,Box culvert,23.5270549,90.8391386,0.006138895927608728,Z
N1,0,link,Km post Missing,23.523166,90.8438886,0.009400318557370585,Z
N1,0,link,Km post Missing,23.5174993,90.8513889,0.009398138048029638,Z
N1,0,link,Km post Missing,23.5170827,90.8607778,0.009655734091718769,Z
