road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N1,23.081,PC Girder Bridge,LRP023c,Ashariachar-2 Bridge.(L),119.48,A,119961,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,interpolate
N1,23.081,PC Girder Bridge,LRP023c,ASHARIR CHAR (L),120.1,A,109796,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,9.5,2000.0,4.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.613587384385,90.6109029561497,interpolate
N1,24.393,PC Girder Bridge,LRP024a,Meghna Bridge,924.85,A,119967,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,24.393,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6027595885583,90.6155316965675,interpolate
N1,26.115,Box Culvert,LRP026a,TATULTALA CULVERT,5.6,A,101132,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.115,10.3,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5929818827893,90.6279699370919,interpolate
N1,26.452,Box Culvert,LRP026b,BAILAKANDI CULVERT,5.5,A,101142,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.452,20.9,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5908088547468,90.6302368598101,interpolate
N1,27.12,Box Culvert,LRP027a,MALUAKANDI CULVEDRT,5.6,A,101150,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,27.12,21.0,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.58631812254,90.6345094207093,interpolate
N1,28.315,PC Girder Bridge,LRP028b,Bhater char Bridge (L),172.1,A,119976,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5779800248475,90.6419193089939,interpolate
N1,28.315,PC Girder Bridge,LRP028a,Bhater char Bridge (R),173.25,A,119973,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5779800248475,90.6419193089939,interpolate
N1,28.315,PC Girder Bridge,LRP028a,BHATIR CHAR BRIDGE,163.5,A,101101,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,9.2,2000.0,6.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5779800248475,90.6419193089939,interpolate
N1,29.138,PC Girder Bridge,LRP029a,Anarpara Bridge (L),29.85,A,119977,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5716306256965,90.6454159236842,interpolate
N1,29.138,PC Girder Bridge,LRP029b,Anarpara Bridge (R),29.77,A,119980,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5716306256965,90.6454159236842,interpolate
N1,29.138,PC Girder Bridge,LRP029a,ANARPUR BRIDGE(R),29.0,A,101108,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5716306256965,90.6454159236842,interpolate
N1,29.138,PC Girder Bridge,LRP029a,ANAR PURA BRIDGE(L),29.0,A,101104,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5716306256965,90.6454159236842,interpolate
N1,29.842,Box Culvert,LRP030a,VITIKANDA - ANAR PUR CULVERT,34.7,A,101113,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.842,21.0,1992.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5660033956521,90.6486237247282,interpolate
N1,30.908,PC Girder Bridge,LRP031a,Alipur bridge(R),27.4,A,120009,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5591910296296,90.6557475703703,interpolate
N1,30.908,PC Girder Bridge,LRP031a,Alipur bridge(L),27.4,A,120012,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5591910296296,90.6557475703703,interpolate
N1,30.908,PC Girder Bridge,LRP031a,ALI PURA P.C BRIDGE (RIGHT),26.3,A,101120,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5591910296296,90.6557475703703,interpolate
N1,31.472,PC Girder Bridge,LRP032a,Bhaber char Bridge(R),29.85,A,120017,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5557082901265,90.6597414245569,interpolate
N1,31.472,PC Girder Bridge,LRP032b,Bhaber char Bridge(L),29.83,A,120022,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5557082901265,90.6597414245569,interpolate
N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR (L),29.0,A,109831,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5557082901265,90.6597414245569,interpolate
N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR BRIDGE(R),29.0,A,109826,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5557082901265,90.6597414245569,interpolate
N1,32.121,PC Girder Bridge,LRP032d,Baushia Bridge(R),29.87,A,120025,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,interpolate
N1,32.121,PC Girder Bridge,LRP032e,Baushia Bridge(L),29.9,A,120026,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,interpolate
N1,32.121,PC Girder Bridge,LRP032d,BOBARCHAR BRIDGE(L),28.9,A,109825,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,interpolate
N1,32.121,PC Girder Bridge,LRP032d,BOBAIRCHAR BRIDGE(R),28.9,A,109832,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5517421907216,90.6643538752577,interpolate
N1,32.777,Box Culvert,LRP033a,PURRANBUICHE BOX CULVERT,9.1,A,109843,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.777,21.0,2002.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5477377446428,90.6690554098214,interpolate
N1,32.796,Box Culvert,LRP033b,NOYAPARA,5.2,A,112533,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.796,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5476246437499,90.669192065625,interpolate
N1,33.591,PC Girder Bridge,LRP034a,Madhya Baushia Bridge(L),72.49,A,120028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543125,90.6748292125,interpolate
N1,33.591,PC Girder Bridge,LRP034a,MADHAYA BAUSHIA BRIDGE(R),59.2,A,109845,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543125,90.6748292125,interpolate
N1,33.591,PC Girder Bridge,LRP034a,MADHAYA BAUSHIA(L),70.0,A,109839,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543125,90.6748292125,interpolate
N1,33.591,PC Girder Bridge,LRP034b,Madhya Baushia Bridge(R),59.83,A,120029,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,10.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543125,90.6748292125,interpolate
N1,35.181,Box Culvert,LRP035a,.,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.181,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5327751898617,90.6858701078341,interpolate
N1,35.408,PC Girder Bridge,LRP036a,Baushia bazar Bridge( L ),25.45,A,120030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5313996605222,90.68744892596,interpolate
N1,35.408,PC Girder Bridge,LRP036b,Baushia bazar Bridge ( R ),25.45,A,120031,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5313996605222,90.68744892596,interpolate
N1,35.707,Box Culvert,LRP036c,CHAR BOUSHEA (2),8.4,A,101125,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.707,21.1,1998.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5301519626506,90.6897951837349,interpolate
N1,37.01,PC Box,LRP037a,Daudkandi Bridge.,1408.8,A,120033,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,37.01,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5303844733,90.7024402743,interpolate
N1,48.384,RCC Girder Bridge,LRP049a,Ginlatoly bridge,15.9,A,120392,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,48.384,,,,Comilla,Comilla,Comilla,Gouripur,23.5318234765,90.8110155135,interpolate
N1,50.558,Box Culvert,LRP051a,RAIPUR BOX CULVERT,12.2,A,101147,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,50.558,11.6,1988.0,2.0,Comilla,Comilla,Comilla,Gouripur,23.5329743291,90.8309774761999,interpolate
N1,63.538,Box Culvert,LRP064c,SONAPUR BOX CULVERT,3.0,A,101169,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.538,12.4,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5013551924,90.9473844088999,interpolate
N1,68.04,Box Culvert,LRP068a,MILL GHAT BOX CULVERT,4.5,A,101175,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,68.04,8.3,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4932728146,90.9887200416,interpolate
N1,76.481,Slab Culvert,LRP077a,NIMSHAR SLAB CULVERT,1.5,A,101189,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,76.481,12.3,1999.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.480613086,91.0674097692,interpolate
N1,82.437,Box Culvert,LRP083a,TIPRA BAZAR BOX CULVERT,1.4,A,101200,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.437,12.2,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4794083880733,91.1238920825688,interpolate
N1,82.989,Slab Culvert,LRP083b,AMTOLI SLAB CULVERT,2.9,A,101202,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.989,12.0,1985.0,1.0,Comilla,Comilla,Comilla,Comilla,23.479544924,91.129047144,interpolate
N1,87.713,RCC Girder Bridge,LRP088a,DHANPUR RCC GIDER BRIDGE,23.4,A,101205,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,87.713,9.2,1988.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4436339598272,91.1493668151188,interpolate
N1,97.257,RCC Girder Bridge,LRP098a,RAZAPARA RCC GIDER BRIDGE,27.9,A,101218,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,97.257,9.2,1995.0,3.0,Comilla,Comilla,Comilla,Comilla,23.3976518197887,91.2234221346859,interpolate
N1,100.938,RCC Girder Bridge,LRP101a,Suagazi Bridge.,30.48,A,120403,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.938,,,,Comilla,Comilla,Comilla,Comilla,23.3713647755,91.2450175414999,interpolate
N1,100.938,RCC Girder Bridge,LRP101a,SUAGAZI RCC GIDER BRIDGE,30.4,A,101220,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.938,9.2,1990.0,4.0,Comilla,Comilla,Comilla,Comilla,23.3713647755,91.2450175414999,interpolate
N1,104.753,Box Culvert,LRP105a,CHANSIRI BOXCUIVERT,14.3,A,101225,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,104.753,8.5,1974.0,3.0,Comilla,Comilla,Comilla,Comilla,23.342671472,91.264485636,interpolate
N1,106.519,Box Culvert,LRP107a,MIABAZAR BOX CULVERT,24.0,A,101227,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,106.519,10.4,1974.0,5.0,Comilla,Comilla,Comilla,Comilla,23.3301462324,91.2748792824,interpolate
N1,108.125,Box Culvert,LRP109a,NOYA BAZER BOX CULVERT,9.2,A,101230,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,108.125,11.5,1990.0,2.0,Comilla,Comilla,Comilla,Comilla,23.3180696869138,91.2830867321701,interpolate
N1,110.551,Box Culvert,LRP111a,LALGORE BEZER CULVERT,3.2,A,101135,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,110.551,12.2,1986.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2979675271676,91.2910141369942,interpolate
N1,111.509,Box Culvert,LRP112a,SUPUYA BOX CULVERT,13.4,A,101138,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,111.509,8.4,1986.0,3.0,Comilla,Comilla,Comilla,Comilla,23.2897066386454,91.2929584711155,interpolate
N1,117.627,Box Culvert,LRP118d,BALUZURI 2 CULVERT,2.6,A,101184,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,117.627,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2397920309669,91.3125740860465,interpolate
N1,118.049,Box Culvert,LRP119a,KALIR BAZAR BOX CULVERT,2.5,A,101185,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,118.049,12.2,1990.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2360759516523,91.3129901976744,interpolate
N1,119.628,Box Culvert,LRP120b,CHADDAGRAM BAZAR BOX CULVERT,6.0,A,101192,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,119.628,9.5,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2220338977777,91.3137005933333,interpolate
N1,121.567,Box Culvert,LRP122a,FALGUNCORA CULVERT,6.1,A,101198,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,121.567,11.85,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2050386287937,91.3163167282749,interpolate
N1,122.603,Box Culvert,LRP123a,ATTOCK GRAM BOX CULVERT,6.1,A,101201,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,122.603,12.0,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1961887953757,91.3176705069364,interpolate
N1,126.448,Box Culvert,LRP127a,ANDAJER BAZER BOX CULVERT,9.5,A,101214,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,126.448,10.5,1992.0,2.0,Comilla,Comilla,Comilla,Comilla,23.1635138669191,91.3215889464646,interpolate
N1,130.912,Box Culvert,LRP131b,HASO BOTHACH BOX CULVERT,6.5,A,101229,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,130.912,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1252363577777,91.3303863688888,interpolate
N1,133.155,Box Culvert,LRP134a,Chanara Box Culvert,6.1,A,101167,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,133.155,9.5,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.1074284451388,91.3400495436111,interpolate
N1,134.974,Box Culvert,LRP136a,PODOYA BOX CULVERT,3.1,A,101193,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,134.974,12.3,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.0930298369186,91.3478308386627,interpolate
N1,136.375,Box Culvert,LRP137a,UTTOR KAIEATI CULVERT,3.5,A,101204,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,136.375,12.2,1994.0,1.0,Comilla,Comilla,Comilla,Comilla,23.0819909531309,91.3541811474383,interpolate
N1,141.531,Box Culvert,LRP142a,FATAPUR BOX CULVERT,10.8,A,101226,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,141.531,15.9,1999.0,2.0,Comilla,Noakhali,Feni,Feni-1,23.0379728055555,91.3656784724359,interpolate
N1,142.793,Slab Culvert,LRP143a,DEBIPUR SLAB CULVERT,1.6,A,101228,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,142.793,12.5,1970.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.0269801170731,91.3655004839721,interpolate
N1,144.939,Box Culvert,LRP145a,CHARIPUR CULVERT.,3.4,A,101232,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,144.939,13.8,1981.0,1.0,Comilla,Noakhali,Feni,Feni-1,23.0124048410423,91.3779796149837,interpolate
N1,147.296,Box Culvert,LRP148a,RAMPUR BOX CULVERT,1.5,A,101233,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,147.296,12.45,1970.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.999248756,91.3957752,interpolate
N1,148.151,RCC Girder Bridge,LRP149a,RAMPUR BRIDGE,23.4,A,101234,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.151,12.4,1986.0,3.0,Comilla,Noakhali,Feni,Feni-1,22.9947280792802,91.4022894900763,interpolate
N1,148.174,PC Girder Bridge,LRP149b,Rampur Bridge(R),22.15,A,121134,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.174,,,,Comilla,Noakhali,Feni,Feni-1,22.9945936133042,91.4024539137404,interpolate
N1,148.495,Box Culvert,LRP149c,.,1.9,A,117864,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,148.495,12.4,1999.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9927169359869,91.4047486961832,interpolate
N1,158.031,Box Culvert,LRP159a,FAZAILPUR BOXCULVERT,1.5,A,101241,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,158.031,10.3,1984.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9486038666666,91.4794993833333,interpolate
N1,165.183,PC Girder Bridge,LRP166a,DumGhat Bridge(L),222.43,A,121146,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,165.183,11.12,1974.0,7.0,Comilla,Noakhali,Feni,Feni-1,22.9149647061403,91.5262895350877,interpolate
N1,165.825,Box Culvert,LRP166c,BUMGAT BOXCULVERT,6.1,A,101270,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,165.825,12.5,1988.0,2.0,Comilla,Noakhali,Feni,Feni-1,22.9097128884012,91.5289285034482,interpolate
N1,166.479,Slab Culvert,LRP167a,BOROYAR PARA SLUB CULVERT,3.0,A,101278,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,166.479,12.4,1999.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.9042462955223,91.5316297776119,interpolate
N1,167.963,Box Culvert,LRP169a,BAROYARHAT BOX CULVERT,3.0,A,101236,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,167.963,12.5,1990.0,1.0,Comilla,Noakhali,Feni,Feni-1,22.8916386,91.5354719,interpolate
