,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of Road from Oxygen More,22.3935552,91.8215827,,N106.lrps.htm
,LRPSa,0.48,Culvert,Box culvert,22.3974997,91.8200271,,N106.lrps.htm
,LRPSb,0.648,Culvert,Box culvert,22.3990552,91.8198049,,N106.lrps.htm
,LRPSc,0.822,Culvert,Box culvert,22.4004722,91.8193604,,N106.lrps.htm
,LRP001,1,Km Post,Km post missing,22.4020556,91.8191104,,N106.lrps.htm
,LRP001a,1.328,Culvert,Slab culvert,22.4049722,91.8188882,,N106.lrps.htm
,LRP001b,1.445,Culvert,Box culvert,22.4060278,91.818666,,N106.lrps.htm
,LRP002,2,Km Post,Km post missing,22.4108056,91.8182493,,N106.lrps.htm
,LRP002a,2.156,Culvert,Box culvert,22.4121667,91.8185549,,N106.lrps.htm
,LRP002b,2.532,Bridge,Bridge start,22.4154722,91.819166,,N106.lrps.htm
,LRP002c,2.554,Bridge,Bridge end,22.4156389,91.819166,,N106.lrps.htm
,LRP003,3,Km Post,Km post missing,22.4196104,91.8197216,,N106.lrps.htm
,LRP003a,3.317,Culvert,Box culvert,22.4223882,91.8200271,,N106.lrps.htm
,LRP003b,3.552,Culvert,Box culvert,22.4244438,91.8197771,,N106.lrps.htm
,LRP004,4.05,Km Post,"Rangamati 64 km,Hathazari 8 km",22.428916,91.819666,,N106.lrps.htm
,LRP004a,4.292,Culvert,Box culvert,22.4309993,91.8199993,,N106.lrps.htm
,LRP004c,4.948,Culvert,Box Culvert,22.4368608,91.8203327,,N106.lrps.htm
,LRP005,5.05,Km Post,Km post missing,22.4377497,91.8204993,,N106.lrps.htm
,LRP005a,5.107,Culvert,Box culvert,22.4382497,91.8206104,,N106.lrps.htm
,LRP005b,5.834,Culvert,Box culvert,22.4444441,91.8190549,,N106.lrps.htm
,LRP006,6.064,Km Post,Information missing,22.4464441,91.8185549,,N106.lrps.htm
,LRP006a,6.642,Culvert,Box culvert,22.4515,91.8175827,,N106.lrps.htm
,LRP006b,6.882,Culvert,Box culvert,22.4535833,91.8173049,,N106.lrps.htm
,LRP007,7.064,Km Post,Km post missing,22.45525,91.817166,,N106.lrps.htm
,LRP007a,7.096,Culvert,Box culvert,22.4555,91.8171382,,N106.lrps.htm
,LRP007b,7.294,Culvert,Box culvert,22.45725,91.8168882,,N106.lrps.htm
,LRP007c,7.882,Culvert,Box culvert,22.4624722,91.8166111,,N106.lrps.htm
,LRP008,8.064,Km Post,Km post missing,22.4640556,91.8165278,,N106.lrps.htm
,LRP008a,8.271,Culvert,Box culvert,22.4658611,91.8163889,,N106.lrps.htm
,LRP008b,8.88,Bridge,Bridge start,22.4710827,91.8151389,,N106.lrps.htm
,LRP008c,8.895,Bridge,Bridge end,22.4711938,91.8151111,,N106.lrps.htm
,LRP009,9.064,Km Post,Km post missing,22.472666,91.8148056,,N106.lrps.htm
,LRP009a,9.756,Culvert,Box culvert,22.4786104,91.8131667,,N106.lrps.htm
,LRP010,10.108,Km Post,Information missing,22.4809438,91.8115278,,N106.lrps.htm
,LRP011,11.108,Km Post,Km post missing,22.4889441,91.8079444,,N106.lrps.htm
