,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start from N5 and in front of RHD signboard, Paglapir Bazar Rangpur.",25.8112222,89.1470274,,R560.lrps.htm
,LRP001,1.02,Km Post,Tista Barrage 49km,25.816666,89.1389441,,R560.lrps.htm
,LRP002,1.99,Km Post,Tista Barrage 48km,25.8212216,89.1307216,,R560.lrps.htm
,LRP003,2.99,Km Post,Tista Barrage 47km,25.8268882,89.1230549,,R560.lrps.htm
,LRP004,3.91,Km Post,Tista Barrage 46km,25.8330271,89.1170549,,R560.lrps.htm
,LRP004a,3.93,Culvert,Box Culvert,25.833166,89.116916,,R560.lrps.htm
,LRP004b,4.69,Culvert,R C C Culvert,25.8393052,89.1137778,,R560.lrps.htm
,LRP005,4.87,Km Post,Tista Barrage 45km,25.8407497,89.1134722,,R560.lrps.htm
,LRP006,5.82,Km Post,Tista Barrage 44km,25.8490274,89.1127222,,R560.lrps.htm
,LRP006a,6.166,Culvert,Masonry Culvert,25.8521389,89.1124167,,R560.lrps.htm
,LRP006b,6.4,Culvert,Box Culvert,25.8542222,89.1121944,,R560.lrps.htm
,LRP007,6.82,Km Post,Km post broken,25.8579722,89.1118056,,R560.lrps.htm
,LRP007a,7.355,Culvert,Masonry Culvert,25.8623333,89.1102222,,R560.lrps.htm
,LRP008,7.78,Km Post,Tista Barrage 42km,25.8654167,89.1081944,,R560.lrps.htm
,LRP008a,8.533,Bridge,Start of Bridge R C C,25.869416,89.1023611,,R560.lrps.htm
,LRP008b,8.548,Bridge,End of bridge R C C,25.869416,89.1022222,,R560.lrps.htm
,LRP008c,8.596,Others,End RHD Rangpur/Start RHD Nilphamari,25.8694716,89.1016111,,R560.lrps.htm
,LRP008c,8.596,Others,End RHD Rangpur/Start RHD Nilphamari,25.8694716,89.1016111,,R560.lrps.htm
,LRP009,8.73,Km Post,Tista Barrage 41km,25.8701938,89.1005278,,R560.lrps.htm
,LRP010,9.69,Km Post,Tista Barrage 40km,25.8766382,89.0946108,,R560.lrps.htm
,LRP011,10.64,Km Post,Tista Barrage 39km,25.8841108,89.0898608,,R560.lrps.htm
,LRP011a,10.882,Culvert,Pipe Culvert,25.8860274,89.0889441,,R560.lrps.htm
,LRP012,11.64,Km Post,Tista Barrage 38km,25.8917497,89.0853052,,R560.lrps.htm
,LRP012a,11.69,Cross Road,Z 5018,25.892083,89.0999441,,R560.lrps.htm
,LRP013,12.56,Km Post,Tista Barrage 37km,25.8974441,89.0787216,,R560.lrps.htm
,LRP014,13.53,Km Post,Tista Barrage 36km,25.9036389,89.072666,,R560.lrps.htm
,LRP014a,13.69,Culvert,Masonry Culvert,25.9050833,89.0728327,,R560.lrps.htm
,LRP014b,13.995,Culvert,Box culvert,25.9076667,89.0735271,,R560.lrps.htm
,LRP015,14.52,Km Post,Tista Barrage 35km,25.9122222,89.0726104,,R560.lrps.htm
,LRP016,15.48,Km Post,Tista Barrage 34km,25.9198604,89.0682771,,R560.lrps.htm
,LRP017,16.48,Km Post,Tista Barrage 33km,25.9274438,89.0638333,,R560.lrps.htm
,LRP017a,16.84,Culvert,Masory Culvert,25.9278049,89.0602222,,R560.lrps.htm
,LRP018,17.48,Km Post,Tista Barrage 32km,25.9305271,89.0548889,,R560.lrps.htm
,LRP019,18.44,Km Post,Tista Barrage 31km,25.9362219,89.0477774,,R560.lrps.htm
,LRP020,19.43,Km Post,Tista Barrage 30km,25.9416663,89.0400274,,R560.lrps.htm
,LRP021,20.41,Km Post,Tista Barrage 29km,25.9468886,89.0322493,,R560.lrps.htm
,LRP022,21.29,Km Post,Tista Barrage 28km,25.9531389,89.0270549,,R560.lrps.htm
,LRP023,22.27,Km Post,Tista Barrage 27km,25.9618611,89.0256382,,R560.lrps.htm
,LRP023a,22.505,Culvert,Slab Culvert,25.9638889,89.0252216,,R560.lrps.htm
,LRP024,23.24,Km Post,Tista Barrage 26km,25.970416,89.0245827,,R560.lrps.htm
,LRP025,24.24,Km Post,Tista Barrage 25km,25.979166,89.0225549,,R560.lrps.htm
,LRP025a,24.561,Bridge,Start of bridge R C C,25.981916,89.0218882,,R560.lrps.htm
,LRP025b,24.57,Bridge,End of bridgr R C C,25.981916,89.0218882,,R560.lrps.htm
,LRP026,25.17,Km Post,Tista Barrage 24km,25.9871663,89.0205827,,R560.lrps.htm
,LRP026a,26.143,Bridge,Bridge start R C C,25.9949163,89.0164167,,R560.lrps.htm
,LRP026b,26.163,Bridge,Bridge end R C C,25.9949997,89.0163889,,R560.lrps.htm
,LRP027,26.19,Km Post,Tista Barrage 23km,25.9952774,89.0163056,,R560.lrps.htm
,LRP028,27.14,Km Post,Tista Barrage 22km,26.0032778,89.0154722,,R560.lrps.htm
,LRP029,28.1,Km Post,Tista Barrage 21km,26.0116667,89.0131389,,R560.lrps.htm
,LRP029a,28.348,"Turn off, Right",Left Z 5701,26.0137778,89.0124444,,R560.lrps.htm
,LRP029b,28.486,Bridge,Start of bridgre R C C,26.0144167,89.0135,,R560.lrps.htm
,LRP029c,28.506,Bridge,End of bridge R C C,26.0145,89.0136667,,R560.lrps.htm
,LRP029d,28.595,Culvert,Box Culvert,26.0150556,89.0143333,,R560.lrps.htm
,LRP030,29.1,Km Post,Km post missing,26.1859163,89.0164167,,R560.lrps.htm
,LRP030a,29.16,"Side Road, Left",Z 5703,26.0197493,89.0165278,,R560.lrps.htm
,LRP031,30.06,Km Post,Tista Barrage 19km,26.0262493,89.0210549,,R560.lrps.htm
,LRP031a,30.324,Bridge,Start of bridge R C C,26.0285827,89.0214438,,R560.lrps.htm
,LRP031b,30.344,Bridge,End of bridge R C C,26.0287493,89.0214993,,R560.lrps.htm
,LRP031c,30.675,Culvert,Box Culvert,26.0312493,89.0198604,,R560.lrps.htm
,LRP032,31,Km Post,Tista Barrage 18km,26.0339997,89.0189993,,R560.lrps.htm
,LRP032a,31.305,Culvert,Masonry Culvert,26.0365274,89.0191382,,R560.lrps.htm
,LRP032b,31.93,Culvert,Masonry Culvert,26.0422219,89.0196104,,R560.lrps.htm
,LRP033,31.965,Km Post,Tista Barrage 17km,26.0426663,89.0196104,,R560.lrps.htm
,LRP033a,32.147,Culvert,Box Culvert,26.0442774,89.0193882,,R560.lrps.htm
,LRP033b,32.693,Culvert,Box Culvert,26.0486108,89.0192771,,R560.lrps.htm
,LRP034,32.915,Km Post,Tista Barrage 16km,26.0510556,89.0187493,,R560.lrps.htm
,LRP035,33.875,Km Post,Tista Barrage 15km,26.0593611,89.017166,,R560.lrps.htm
,LRP035a,34.117,Culvert,R C C Culvert start,26.0614167,89.0177216,,R560.lrps.htm
,LRP035b,34.132,Culvert,R.C.C Culvert end,26.0615556,89.0177493,,R560.lrps.htm
,LRP036,34.875,Km Post,Km post broken,26.06475,89.023666,,R560.lrps.htm
,LRP037,35.875,Km Post,Tista Barrage 13km,26.0716382,89.028166,,R560.lrps.htm
,LRP037a,35.945,Bridge,Start of bridge P.C Girder,26.0721938,89.0283882,,R560.lrps.htm
,LRP037b,36.035,Bridge,End of bridge P.C Girder,26.0728882,89.0286104,,R560.lrps.htm
,LRP038,36.775,Km Post,Tista Barrage 12km,26.0797771,89.0293882,,R560.lrps.htm
